DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2015,256.20,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2016,248.20,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2017,250.90,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2018,251.90,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2019,254.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2020,253.30,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EE,2021,250.80,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2013,653.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2014,659.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2015,582.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2016,554.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2017,556.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2018,542.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2019,530.00,
